,variable,coefs
112,ms_zoning_C (all) exterior_1st_Wd Sdng,-0.004086845547959841
113,ms_zoning_C (all) exterior_2nd_Wd Sdng,-0.004086845547959832
114,ms_zoning_C (all) bsmtfin_type_1_BLQ,0.0
115,ms_zoning_C (all) heating_qc_TA,-0.007422618332882946
116,ms_zoning_FV garage_type_Attchd,0.004176983087778425
117,ms_zoning_RL neighborhood_BrkSide,0.0020432324155313483
118,ms_zoning_RM neighborhood_GrnHill,0.000452060344159485
119,ms_zoning_RM condition_1_RRAn,-0.003983227918475265
120,ms_zoning_RM exter_qual_TA,-0.005709511922503624
121,ms_zoning_RM bsmtfin_type_1_Unf,-0.0041280125884841186
122,ms_zoning_RM heating_Grav,-0.004645044266519561
123,ms_zoning_RM ms_subclass_160,-0.00036708052338717793
124,street_Pave neighborhood_GrnHill,0.0004520603441594981
125,land_contour_HLS land_slope_Sev,-0.0005475043066711674
126,land_contour_HLS neighborhood_Crawfor,0.003829428524203141
127,land_contour_HLS exterior_1st_Plywood,-0.000547504306671168
128,land_contour_HLS kitchen_qual_Fa,-0.003545509133218376
129,land_contour_Lvl neighborhood_GrnHill,0.0004520603441595042
130,lot_config_CulDSac house_style_1Story,0.006472762801812419
131,lot_config_CulDSac roof_style_Mansard,-0.0013049569539376412
132,lot_config_Inside neighborhood_Edwards,-0.002402319113050966
133,lot_config_Inside neighborhood_GrnHill,0.00045206034415949756
134,lot_config_Inside bsmtfin_type_1_GLQ,0.0031435679989074332
135,lot_config_Inside bsmtfin_type_1_Rec,-0.003676623336161432
136,land_slope_Mod foundation_CBlock,0.0015241833755699874
137,land_slope_Sev house_style_2Story,-0.0005475043066711658
138,land_slope_Sev mas_vnr_type_BrkFace,-0.0005475043066711655
139,land_slope_Sev kitchen_qual_Fa,-0.00381466304276148
140,land_slope_Sev ms_subclass_60,-0.0005475043066711725
141,neighborhood_ClearCr house_style_1Story,0.0012490931543262022
142,neighborhood_ClearCr mas_vnr_type_None,0.007438691305500485
143,neighborhood_ClearCr bsmt_exposure_Gd,-0.0006509634451251669
144,neighborhood_Crawfor roof_style_Gable,0.00356163451783318
145,neighborhood_Crawfor ms_subclass_50,0.006532919255256932
146,neighborhood_Edwards exter_cond_TA,-0.007839822949075174
147,neighborhood_Edwards bsmt_cond_Gd,0.010296435586871362
148,neighborhood_Edwards bsmtfin_type_1_Unf,0.0001681663541615444
149,neighborhood_Edwards garage_type_Detchd,-0.005834471111870862
150,neighborhood_GrnHill^2,0.00045206034415949653
151,neighborhood_GrnHill condition_1_Norm,0.0004520603441594965
152,neighborhood_GrnHill bldg_type_TwnhsE,0.0004520603441594616
153,neighborhood_GrnHill house_style_1Story,0.00045206034415946157
154,neighborhood_GrnHill roof_style_Gable,0.0004520603441594614
155,neighborhood_GrnHill exterior_2nd_Wd Sdng,0.00045206034415946146
156,neighborhood_GrnHill exter_qual_Gd,0.00045206034415946645
157,neighborhood_GrnHill exter_cond_TA,0.00045206034415946645
158,neighborhood_GrnHill central_air_Y,0.00045206034415946634
159,neighborhood_GrnHill electrical_SBrkr,0.00045206034415946634
160,neighborhood_GrnHill kitchen_qual_Gd,0.00045206034415946065
161,neighborhood_GrnHill functional_Typ,0.0004520603441594605
162,neighborhood_GrnHill garage_type_Attchd,0.00045206034415946054
163,neighborhood_GrnHill garage_qual_TA,0.0004520603441594603
164,neighborhood_GrnHill garage_cond_TA,0.0004520603441594815
165,neighborhood_GrnHill paved_drive_Y,0.00045206034415948136
166,neighborhood_GrnHill sale_type_WD ,0.0004520603441594815
167,neighborhood_GrnHill ms_subclass_120,0.00045206034415948146
168,neighborhood_MeadowV bsmt_exposure_No,-0.007844077988096398
169,neighborhood_NridgHt bsmtfin_type_1_Unf,0.0059811201597766124
170,neighborhood_NridgHt sale_type_New,0.0026580634053268042
171,neighborhood_OldTown bsmt_cond_Fa,-0.0001334534509852576
172,neighborhood_OldTown heating_Grav,-0.004645044266519475
173,neighborhood_OldTown garage_cond_Fa,0.0014607443197888904
174,neighborhood_OldTown ms_subclass_30,-0.005901977783474544
175,neighborhood_Veenker roof_style_Mansard,-0.0013049569539376562
176,neighborhood_Veenker exterior_1st_Wd Sdng,-0.0013049569539376408
177,neighborhood_Veenker exterior_2nd_Wd Sdng,-0.0013049569539376408
178,condition_1_Feedr garage_cond_Fa,-0.008794376165149801
179,condition_1_Norm central_air_Y,0.00393329316430719
180,condition_1_RRAn bsmt_cond_Fa,-0.003980262583466752
181,bldg_type_2fmCon garage_cond_Po,0.0016453236183786226
182,house_style_1Story bsmt_cond_Fa,-0.0029087808938522016
183,roof_style_Hip sale_type_New,0.005195217020521799
184,roof_style_Mansard exterior_1st_Wd Sdng,-0.0013049569539376306
185,roof_style_Mansard exterior_2nd_Wd Sdng,-0.0013049569539376304
186,roof_style_Mansard exter_cond_Gd,-0.0013049569539376306
187,roof_style_Mansard bsmtfin_type_1_GLQ,-0.00130495695393763
188,exterior_1st_BrkFace exterior_2nd_Wd Sdng,0.0054480074203553394
189,exterior_1st_BrkFace garage_cond_TA,0.012023351058627358
190,exterior_1st_CemntBd exter_qual_TA,-0.0029377798943206485
191,exterior_1st_VinylSd heating_Grav,-0.0028894992768039923
192,exterior_1st_VinylSd sale_type_Oth,0.0
193,exterior_1st_Wd Sdng heating_qc_Gd,-0.00541624201572123
194,exterior_2nd_VinylSd foundation_Slab,-0.008999400020010158
195,exterior_2nd_VinylSd heating_Grav,-0.0028894992768040756
196,exterior_2nd_VinylSd sale_type_Oth,0.0
197,exterior_2nd_VinylSd ms_subclass_50,-0.005464220271570938
198,mas_vnr_type_BrkFace ms_subclass_120,0.007110416320879599
199,exter_qual_Fa foundation_Slab,-0.005559935944768857
200,exter_cond_Fa bsmt_qual_Fa,-0.005047230520031696
201,exter_cond_Fa bsmt_cond_Fa,-0.0005398037200153084
202,exter_cond_Fa functional_Mod,-0.012334284316858648
203,exter_cond_Fa garage_cond_Fa,-0.00704538659257232
204,exter_cond_Fa ms_subclass_30,1.6388967701268997e-05
205,exter_cond_Gd sale_type_Oth,0.0
206,exter_cond_TA bsmt_exposure_Gd,0.0005141932443310255
207,bsmt_qual_Fa bsmt_cond_Fa,-5.2270404277148704e-05
208,bsmt_qual_Fa garage_qual_Fa,-0.0016782214507268076
209,bsmt_qual_Fa garage_cond_Fa,0.0023313536473683182
210,bsmt_cond_Fa ms_subclass_30,-0.00255967766075814
211,bsmt_exposure_Gd bsmtfin_type_2_Unf,0.004857953778059868
212,bsmtfin_type_1_Rec bsmtfin_type_2_BLQ,-0.00405360208300329
213,bsmtfin_type_1_Unf heating_qc_TA,-0.005956946331770892
214,bsmtfin_type_2_BLQ heating_qc_Gd,-0.0021814989452835004
215,heating_Grav electrical_SBrkr,-0.0028894992768041406
216,heating_qc_TA garage_finish_Unf,-0.004598818982850477
217,heating_qc_TA garage_cond_Fa,0.00044080866603289897
218,electrical_FuseF sale_type_ConLD,-0.002789930969191685
219,kitchen_qual_Fa ms_subclass_60,-0.0005475043066711792
220,garage_qual_Fa sale_type_ConLD,-0.002789930969191221
221,garage_cond_Fa sale_type_ConLD,-0.0027899309691912233
222,garage_cond_Po ms_subclass_190,0.0016453236183785202
